index,latent_dim,hidden_dim,epochs,learning_rate,kl_div_loss_weight,nb_clusters,stability
284,4,60,140,-2.0,0.1,4,0.8217406748199042
285,7,30,140,-3.0,1.0,5,0.7154287822999961
286,3,50,110,-2.0,0.1,4,0.7609586219772808
288,2,40,120,-2.0,0.5,5,0.7573414390313724
289,7,50,90,-3.0,0.1,5,0.8155378377248863
290,3,60,150,-3.0,0.1,4,0.8949343544114049
291,7,30,110,-3.0,0.5,2,0.9486171979453255
293,7,40,110,-3.0,0.5,5,0.8698782343624254
294,4,60,100,-3.0,1.0,5,0.834184008095005
295,5,20,130,-3.0,0.1,3,0.8887576729361446
298,5,60,100,-3.0,1.0,4,0.9145312986760141
300,2,30,90,-3.0,0.5,5,0.8671161654668517
301,3,40,120,-3.0,1.0,4,0.9000381541710815
303,5,60,130,-3.0,1.0,4,0.882034221627285
304,3,60,140,-3.0,1.0,4,0.9139418953599105
305,3,20,90,-3.0,0.5,5,0.8944925739146514
306,9,60,140,-3.0,0.1,3,0.7039056854394614
307,6,30,130,-3.0,0.5,5,0.8939670756923839
308,3,20,140,-2.0,0.1,5,0.7857169779590514
309,5,60,130,-3.0,0.1,5,0.8591167595636601
310,7,50,90,-2.0,0.1,3,0.8283489686069782
311,7,60,100,-2.0,0.5,2,0.9144200458831989
313,7,50,150,-2.0,0.5,5,0.8410114373577092
314,5,40,90,-3.0,0.5,4,0.8817138964733895
315,5,20,150,-3.0,0.1,3,0.8930926173495701
316,10,30,100,-3.0,1.0,5,0.7100455926874142
317,4,50,130,-2.0,1.0,4,0.8937460601708807
318,3,20,130,-2.0,0.1,5,0.8258168075965218
320,4,40,100,-3.0,0.5,4,0.8981310211853677
321,10,20,150,-3.0,0.5,5,0.8300798784082464
322,7,60,120,-2.0,0.5,5,0.8455281782565107
323,9,30,130,-3.0,0.1,3,0.7731880313074795
324,6,40,110,-3.0,1.0,2,0.9378709835682482
326,2,20,140,-3.0,0.5,5,0.8376288293889702
327,3,50,130,-3.0,0.5,4,0.9138645614347725
328,7,30,90,-2.0,0.5,2,0.9597455051543187
329,5,40,120,-3.0,0.5,4,0.8443084163820653
330,8,40,120,-3.0,1.0,2,0.9461747769835127
331,5,30,150,-3.0,1.0,4,0.8493491991327566
332,5,50,140,-2.0,0.1,5,0.8464636279505653
333,6,60,90,-2.0,0.5,5,0.7931927842546667
334,4,60,100,-3.0,0.5,4,0.8915862777161716
335,4,20,110,-2.0,0.1,4,0.854636277154246
336,2,20,100,-2.0,1.0,4,0.6360620668333046
337,4,40,100,-2.0,1.0,2,0.940433585396532
339,5,20,110,-3.0,0.1,3,0.8833650451580684
341,9,50,150,-3.0,1.0,3,0.9006799592610526
342,3,50,90,-3.0,0.5,4,0.913193069676697
343,8,60,140,-3.0,0.5,5,0.7820929349308723
344,7,50,150,-3.0,0.1,5,0.8204266492518969
345,8,30,140,-3.0,0.1,3,0.8222499118052666
346,2,40,110,-3.0,1.0,5,0.9090012916038694
347,2,40,110,-2.0,0.1,5,0.7818826629888118
348,5,30,90,-2.0,0.1,5,0.8024390723055239
349,2,30,140,-2.0,1.0,5,0.8651990072918418
350,2,60,90,-2.0,0.1,5,0.7791305359199865
351,2,50,120,-2.0,0.1,5,0.8662996419982021
352,10,20,120,-2.0,0.1,4,0.8176816457355982
353,3,30,140,-2.0,0.1,4,0.8747813901746145
354,4,40,130,-3.0,1.0,4,0.8593467674986548
356,6,20,140,-2.0,0.1,2,0.9022267621956854
357,3,40,90,-3.0,1.0,4,0.8979057404875224
358,2,60,120,-2.0,0.1,5,0.7910314454839623
359,5,40,110,-2.0,1.0,5,0.735989054195854
360,8,60,110,-3.0,0.1,2,0.8454391260453824
361,5,40,90,-2.0,1.0,4,0.6164264372366477
363,4,60,90,-3.0,1.0,5,0.8822515364718364
364,2,50,90,-2.0,0.1,5,0.8145807775407565
366,2,50,150,-3.0,0.5,5,0.6565710740410118
367,10,20,90,-3.0,0.5,2,0.9075676723948021
368,5,40,140,-3.0,0.1,5,0.8384771161487029
369,3,30,140,-3.0,0.1,3,0.8772998378307081
370,4,60,110,-2.0,0.1,4,0.6943190013193028
371,8,20,100,-3.0,0.1,4,0.8997005817458382
373,8,20,110,-2.0,0.5,2,0.9528730780156764
375,4,40,110,-2.0,0.5,5,0.8556620432346462
376,9,40,120,-2.0,0.5,2,0.9528899287710517
377,5,60,150,-2.0,1.0,4,0.7146279539572802
378,5,40,120,-2.0,0.5,2,0.8623485347878261
379,6,60,130,-2.0,0.5,5,0.83596595918298
381,2,50,100,-3.0,0.1,5,0.8728162898553808
383,5,30,90,-3.0,0.1,3,0.9160341089352411
384,6,60,150,-2.0,0.5,5,0.7633957619773739
385,10,20,100,-3.0,0.5,5,0.8721861108616098
386,8,20,120,-2.0,0.5,3,0.8220294951018281
387,9,30,130,-3.0,1.0,5,0.9227957177315023
388,7,40,120,-2.0,0.1,2,0.8605696760825308
389,2,30,150,-3.0,0.5,5,0.852646992618332
390,5,60,90,-2.0,0.1,5,0.7530809623589267
391,8,40,130,-2.0,0.1,2,0.9018967396411117
392,6,20,120,-2.0,0.1,3,0.8827612184484945
393,5,60,110,-3.0,0.1,4,0.8718828514116994
394,3,40,120,-3.0,0.1,3,0.8806358132734181
395,7,20,90,-3.0,1.0,5,0.8503947416050774
396,6,30,90,-2.0,0.5,5,0.8126275407221639
397,7,30,120,-3.0,1.0,5,0.8694990979106543
398,7,60,150,-2.0,0.1,2,0.8901502527697778
399,2,60,140,-2.0,0.1,5,0.8954607983627996
