,standard_deviation
Protein_CRTAC1,0.38943684924739586
Protein_HBQ1,0.38895615546428053
Protein_CAPZA1,0.3887552456120835
Protein_ARHGAP36,0.3886719878160915
Protein_MLEC,0.3882633284791337
Protein_NTS,0.3881768929962514
Protein_PDCD1,0.38805968363115373
Protein_CD276,0.3879006228417644
Protein_YWHAQ.1,0.3878531088418299
Protein_SEMA6B,0.3878136114996008
Protein_PTPN11.1,0.3877633623843456
Protein_FSTL5,0.38769095902905965
Protein_F10,0.38738207803803615
Protein_CNDP1,0.38735385947190315
Protein_OLR1,0.3869952689064701
Protein_PDGFC,0.3869715754341941
Protein_CCL11,0.3869587450983074
Protein_HCAR2,0.3866910932613664
Protein_CTLA4,0.3866027335360096
Protein_COX6A2,0.38621842446385624
Protein_HNRNPR,0.38612562784120447
Protein_CNDP1.1,0.3861000528396347
Protein_SIGLEC7,0.3860748404863746
Protein_EIF1B,0.3854680522960451
Protein_GNPDA1,0.3853099698231722
Protein_CD8A,0.38529522178020814
Protein_PRCP,0.3852037257180771
Protein_NXPH2,0.385110148299873
Protein_CD5.1,0.38507501396268196
Protein_PLXNC1,0.3849053017451548
Protein_CD40,0.3847570173707121
Protein_KLK8,0.38455219736537266
Protein_MRC1,0.38436609592754906
Protein_MGAT2,0.38417784371355035
Protein_ADAM7,0.38411156623501563
Protein_NAPA,0.3840255239297068
Protein_LRP11,0.38339779542980423
Protein_PDE2A,0.38321487855285674
Protein_MMP19,0.3830423758162753
Protein_MAN1C1,0.38298622021144757
Protein_VIT.1,0.38268914517197505
Protein_TFRC.1,0.3826536392539403
Protein_PKM,0.38264490768312526
Protein_TNC,0.3824783908557583
Protein_KLK8.1,0.3820833453397633
Protein_FUT8,0.38203697502916023
Protein_ENTPD1,0.38174287129228635
Protein_ATP1A1,0.3811604384236074
Protein_DKKL1,0.38105579071064516
Protein_LRPPRC,0.3810327216075547
Protein_CTSA,0.38081486608405324
Protein_C1QTNF3,0.3803935300416023
Protein_ITGB2,0.38027244891696593
Protein_STX2,0.3800621781871539
Protein_SERPIND1,0.3799265283117798
Protein_CHAD,0.379534198275406
Protein_PDGFRL,0.3790365126937419
Protein_ILK,0.37878960224065467
Protein_C8G,0.37851026997890347
Protein_EXOSC3,0.37820631482109446
Protein_SERPINF2,0.37812060610583914
Protein_STX3,0.3780998889165003
Protein_OLR1.1,0.37806994716671566
Protein_WFIKKN2,0.3779840454312559
Protein_VIT,0.37759360307275835
Protein_MDK,0.3775222040193674
Protein_GNS,0.3774336563505116
Protein_KCNE5.1,0.37734880948410604
Protein_MFAP4,0.37727276433023726
Protein_LCP1,0.3771216840941786
Protein_KLK5,0.37699009588965987
Protein_DMKN,0.37687314426737795
Protein_HHIP,0.3767618822751985
Protein_PXDN,0.3765766688895725
Protein_GAL3ST2,0.37640903800519465
Protein_FXR1,0.37629477705374276
Protein_L1CAM,0.3756793213709979
Protein_RAB6B,0.3756165449350361
Protein_LGMN,0.37559770493672245
Protein_FUT10,0.37559698903526645
Protein_PTPRR,0.3755476662396567
Protein_VSNL1,0.3754682842999836
Protein_PSMB1,0.3752086677638519
Protein_LRP12,0.3745078975780463
Protein_TMEM9.1,0.37441910593279515
Protein_FGF7,0.3743665441865261
Protein_ECH1,0.3741929659542632
Protein_SEMA4C,0.37396987705240237
Protein_PPP3CA,0.3738523180937876
Protein_CHL1.1,0.3736498604608008
Protein_PYGL,0.3736272186956751
Protein_ADAM23,0.37359734609812345
Protein_CST6,0.37347038922458037
Protein_TYRO3,0.37280487182157784
Protein_ADAM22,0.3727001138008823
Protein_LHB,0.3726036926863586
Protein_LIPA,0.37257499816352857
Protein_PRKACA,0.3722904322496883
Protein_A4GNT,0.37182536369268204
Protein_METAP2,0.37170659906621994
Protein_APRT,0.3715181165015319
Protein_INHBC,0.3713958261738769
Protein_INPP5B,0.3711042379335669
Protein_AIF1,0.3708283492923892
Protein_DOC2B,0.37062604681248185
Protein_ELANE.1,0.37029908181068566
Protein_B3GNT2,0.3702915227850932
Protein_UBE2E1,0.37029094899522746
Protein_ESM1,0.3702713600509738
Protein_DPT,0.37017263256673505
Protein_CFHR1,0.3700856972099066
Protein_SNCA.1,0.3699129378395715
Protein_VWC2,0.36945388911997945
Protein_QDPR,0.36906022185230714
Protein_PCDHGB4,0.3687486932332876
Protein_SERPING1,0.3685075279003421
Protein_COL8A1,0.3683500573574131
Protein_KLK14,0.3679510713484707
Protein_APOD.1,0.36777621795136617
Protein_PPID,0.3676163373113712
Protein_FTH1.1,0.36758932908013436
Protein_RAB22A,0.36741078348488493
Protein_SIRT5,0.36712821683222513
Protein_NPPB.2,0.3665508098541758
Protein_ACP2,0.3665058949302787
Protein_PTGR1,0.36647176199167336
Protein_ECM1,0.36631315096651207
Protein_C11orf68,0.36618889258523923
Protein_FGFR3,0.3661617303361395
Protein_AHCYL1,0.36610642264208626
Protein_PSMD11,0.36596354928914515
Protein_GPC1,0.3659468082309938
Protein_NAP1L1,0.36590255073433103
Protein_HIBCH,0.3650558978200842
Protein_TNFRSF11B.1,0.36487535435623325
Protein_CHST1,0.3647292065463063
Protein_SNRPF,0.3647187306110714
Protein_CADM1,0.36469573198641597
Protein_ARHGAP45,0.3646610432111244
Protein_B3GNT8,0.3644435446859502
Protein_NOV,0.36397885833288546
Protein_DRAXIN,0.3636783764926769
Protein_THTPA,0.3634506945280244
Protein_MMP10,0.3633353928429353
Protein_CHKB.1,0.36327211322665853
Protein_SCARF1,0.3629514581352425
Protein_STX12,0.362275596365173
Protein_SLC30A5,0.361993270824231
Protein_PRKCG,0.361845519188647
Protein_PLA2G7,0.36159593635670767
Protein_LRP8,0.3612429036415263
Protein_EIF5A2,0.36119680990317526
Protein_HGF,0.36113231134292406
Protein_NRXN1.1,0.36095264981665576
Protein_C2,0.3603907082183033
Protein_TGFB1,0.3600331732276507
Protein_STX8,0.35995470435900057
Protein_EPHA5,0.35987875387419754
Protein_WFDC8,0.35955700104503635
Protein_ANG,0.3594791792487925
Protein_UNC5D,0.3593717225118713
Protein_EPHA5.1,0.35918202676174493
Protein_AKR1A1,0.35898768793206237
Protein_TIMP4,0.35891936111791184
Protein_CRTAM.1,0.358848433480138
Protein_CAPG,0.35884818197476037
Protein_SEMA3G,0.3586691602131118
Protein_CST7,0.358394786274107
Protein_CLEC3B,0.35837086885611086
Protein_IL17D,0.35829816998435843
Protein_PCDHGC3,0.3581171106612761
Protein_SCUBE1,0.3578626410517934
Protein_RSPO2.1,0.3578004341751999
Protein_KLC1,0.3577249012331589
Protein_IRF1.1,0.35757240714013
Protein_PIR,0.35749086679310715
Protein_SNRPA,0.35739310496244525
